Price,URL,Type,Location,Bedrooms,Bathrooms,Parking.Spaces,Erf.Size,Floor.Size,Latitude,Longitude,Erf.Size.Normalized,Floor.Size.Normalized,Size,Predicted,Difference
550000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/114865944,House,Bonteheuwel,0.0666666666666667,0.2,0.0,206.0,,0.484269613719838,0.34452394920694,0.247285886610374,,0.247285886610374,1002200.0,452200.0
339000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/111818990,Apartment,Wynberg,0.0333333333333333,0.2,0.1,,31.0,0.299112099254906,0.235312456728385,,0.11587982832618,0.11587982832618,786145.0,447145.0
550000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/113530433,Apartment,Wynberg,0.133333333333333,0.2,0.1,,54.0,0.299112099254906,0.235312456728385,,0.214592274678112,0.214592274678112,994018.0,444018.0
360000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115126040,Apartment,Wynberg,0.0666666666666667,0.2,0.0,,31.0,0.299112099254906,0.235312456728385,,0.11587982832618,0.11587982832618,801982.0,441982.0
670000,https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/115185829,House,Athlone,0.0666666666666667,0.2,0.0,222.0,,0.41644757791713,0.348942196210511,0.266586248492159,,0.266586248492159,1107073.0,437073.0
799000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115033239?plId=1829753&amp;plt=4,House,Ocean View,0.266666666666667,0.2,0.3,184.0,,0.589297092598906,0.0,0.220747889022919,,0.220747889022919,1233655.0,434655.0
399999,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/114700280,Apartment,Maitland,0.0666666666666667,0.2,0.0,,24.0,0.556668716539425,0.312988176923529,,0.0858369098712446,0.0858369098712446,830827.0,430828.0
600000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/114716368,House,Retreat,0.133333333333333,0.2,0.1,163.0,,0.138651192190957,0.262819490907442,0.195416164053076,,0.195416164053076,1027873.0,427873.0
449000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114096272,Apartment,Wynberg,0.0666666666666667,0.2,0.1,,45.0,0.299112099254906,0.235312456728385,,0.175965665236052,0.175965665236052,876764.0,427764.0
649000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114757705,Apartment,Wynberg,0.133333333333333,0.2,0.1,,68.0,0.299112099254906,0.235312456728385,,0.274678111587983,0.274678111587983,1075018.0,426018.0
360000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/114940320,Apartment,Wynberg,0.0333333333333333,0.2,0.1,,31.0,0.299112099254906,0.235312456728385,,0.11587982832618,0.11587982832618,785764.0,425764.0
270000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/114810561,House,Greenville Garden City,0.133333333333333,0.2,0.1,98.0,,1.0,1.0,0.117008443908323,,0.117008443908323,692287.0,422287.0
270000,https://www.property24.com/for-sale/greenville-garden-city/cape-town/western-cape/16424/114944559,House,Greenville Garden City,0.133333333333333,0.2,0.1,104.0,,1.0,1.0,0.124246079613993,,0.124246079613993,692287.0,422287.0
750000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115047951,House,Ocean View,0.2,0.2,0.2,150.0,,0.589297092598906,0.0,0.179734620024125,,0.179734620024125,1171673.0,421673.0
