"Price","URL","Type","Location","Bedrooms","Bathrooms","Parking.Spaces","Erf.Size","Floor.Size","Latitude","Longitude"
820000,"https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115062739","Apartment","Mowbray",1,1,0,NA,34,-33.9483333,18.4741667
930000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115190423","House","Belhar",2,1,2,152,NA,-33.9447222,18.6258333
1200000,"https://www.property24.com/for-sale/charlesville/cape-town/western-cape/8155/115007357?plId=1839131&amp;plt=4","House","Charlesville",3,1.5,5,582,NA,-33.96155715,18.5678504506893
1150000,"https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115183900","Apartment","Wynberg Upper",1,1,1,NA,52,-34.00685,18.4694
1349000,"https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115186760","Apartment","Observatory",1,1,1,NA,46,-33.9369444,18.4683333
349000,"https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115005184?plId=1829752&amp;plt=4","Land","Ocean View",0,0,0,198,NA,-33.91222275,18.3890767944427
860000,"https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115068392","Apartment","Costa Da Gama",2,1,1,NA,45,-34.09616,18.48278
975000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115042093","Apartment","Zonnebloem",1,1,0,NA,54,-33.932546,18.435048
1250000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114839412","Apartment","Zonnebloem",2,2,1,NA,71,-33.932546,18.435048
1150000,"https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/113435037","Apartment","Pinelands",2,1,1,NA,63,-33.9316667,18.5127778
1150000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115148594","House","Belhar",3,2,1,281,NA,-33.9447222,18.6258333
1395000,"https://www.property24.com/for-sale/steenberg/cape-town/western-cape/9040/115085422?plId=1822303&amp;plt=4","House","Steenberg",5,2,4,293,NA,-34.0747222,18.4708333
1250000,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115183658","Apartment","Zonnebloem",2,2,1,NA,71,-33.932546,18.435048
1495000,"https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115136375","Apartment","Wynberg Upper",1,1,0,NA,73,-34.00685,18.4694
495000,"https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115212684","Apartment","Maitland",1,1,1,NA,33,-33.9225,18.4930556
1495000,"https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115113432","Apartment","Kenilworth",1,1,1,NA,50,-33.9941667,18.4683333
999000,"https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115167863","Apartment","Ottery",2,1,1,NA,45,-34.0131526,18.5091531
1500000,"https://www.property24.com/for-sale/tokai/cape-town/western-cape/9044/115172801","House","Tokai",2,1,1,NA,59,-34.0608333,18.4416667
1295000,"https://www.property24.com/for-sale/ndabeni/cape-town/western-cape/8014/115197458","House","Ndabeni",3,2,2,219,NA,-33.928485,18.4916241
1450000,"https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115100987","Townhouse","Muizenberg",2,1.5,2,120,NA,-34.0978389,18.4845707617506
1070000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101771","Apartment","Woodstock",1,1,1,NA,43,-33.9305556,18.4472222
1090000,"https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115186764","Apartment","Observatory",0.5,1,1,NA,38,-33.9369444,18.4683333
960000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115028425","Apartment","Woodstock",0.5,1,1,NA,43,-33.9305556,18.4472222
1265000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101756","Apartment","Woodstock",1,1,1,NA,62,-33.9305556,18.4472222
1250000,"https://www.property24.com/for-sale/surrey-estate/cape-town/western-cape/8762/115208034","House","Surrey Estate",3,2,2,205,NA,-33.9763889,18.5458333
960000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101506","Apartment","Woodstock",0.5,1,1,NA,43,-33.9305556,18.4472222
1265000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101627","Apartment","Woodstock",1,1,1,NA,132,-33.9305556,18.4472222
650000,"https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115099899","House","Bonteheuwel",1,1,4,316,NA,-33.94607325,18.5035322
875000,"https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115021922","Apartment","Claremont",0.5,1,1,NA,28,-33.9847222,18.4625
1125000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101822","Apartment","Woodstock",1,1,1,NA,43,-33.9305556,18.4472222
800000,"https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115016564","Apartment","Pinelands",1,1,1,NA,36,-33.9316667,18.5127778
884900,"https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115213833","Apartment","Zonnebloem",1,1,1,NA,41,-33.932546,18.435048
1450000,"https://www.property24.com/for-sale/rondebosch/cape-town/western-cape/8682/115090825","Apartment","Rondebosch",0.5,1,1,NA,41,-33.9680556,18.4877778
1350000,"https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/113258148","Apartment","Salt River",1,1,1,NA,61,-33.9317008,18.4610056
1250000,"https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/115218636","Apartment","Cape Town City Centre",1,1,1,NA,43,-33.9224221,18.4263523
1299000,"https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115102467","Apartment","Muizenberg",2,1,2,NA,68,-34.0978389,18.4845707617506
1395000,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115088917","Apartment","Woodstock",0.5,1,1,NA,43,-33.9305556,18.4472222
920000,"https://www.property24.com/for-sale/vanguard/cape-town/western-cape/8766/115205648","Apartment","Vanguard",2,1,1,NA,4,-33.8874033714482,18.5315631360832
1280000,"https://www.property24.com/for-sale/athlone/cape-town/western-cape/8734/115216214","Apartment","Athlone",3,2,2,NA,92,-33.9666667,18.505
1494995,"https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115204158","Apartment","Woodstock",1,1,1,NA,42,-33.9305556,18.4472222
1450000,"https://www.property24.com/for-sale/rosebank/cape-town/western-cape/8683/115217786","Apartment","Rosebank",1,1,1,NA,42,-33.9519444,18.4738889
1400000,"https://www.property24.com/for-sale/claremont/cape-town/western-cape/11741/115104760","Apartment","Claremont",2,1,1,NA,53,-33.9847222,18.4625
