Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Latitude,Longitude
650000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115227789,2 Bedroom Apartment,Belhar,2.0,1.0,,,38.0,-33.9447222,18.6258333
1250000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115227696,2 Bedroom Apartment,Muizenberg,2.0,1.0,1.0,,62.0,-34.0978389,18.484570761750607
1095000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115226504,2 Bedroom Apartment,Salt River,2.0,1.0,1.0,,56.0,-33.9317008,18.4610056
695000,https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115226148,Vacant Land,Lotus River,,,,566.0,,-34.0430556,18.5213889
430000,https://www.property24.com/for-sale/bishop-lavis/cape-town/western-cape/8121/115225685,2 Bedroom House,Bishop Lavis,2.0,1.0,4.0,252.0,,-33.9486111,18.5758333
1400000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115225332,2 Bedroom House,Retreat,2.0,1.0,6.0,345.0,,-34.0541667,18.4763889
650000,https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115225288,2 Bedroom House,Langa,2.0,1.0,1.0,200.0,,-33.9455556,18.53
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115043545?plId=1842782&amp;plt=4,2 Bedroom House,Bonteheuwel,2.0,1.0,1.0,206.0,,-33.94607325,18.503532200000002
850000,https://www.property24.com/for-sale/bridgetown/cape-town/western-cape/8723/115223667,2 Bedroom Apartment,Bridgetown,2.0,1.0,1.0,,56.0,-33.9563889,18.5305556
1199000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115198173?plId=1848740&amp;plt=4,1 Bedroom Apartment,Mowbray,1.0,1.0,,,21.0,-33.9483333,18.4741667
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115164660?plId=1842782&amp;plt=4,2 Bedroom House,Bonteheuwel,2.0,1.0,1.0,206.0,,-33.94607325,18.503532200000002
1250000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115097986?plId=1832326&amp;plt=4,2 Bedroom Apartment,Muizenberg,2.0,1.0,1.0,,62.0,-34.0978389,18.484570761750607
685000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115042280?plId=1825025&amp;plt=4,1 Bedroom Apartment,Wynberg,1.0,1.0,1.0,,54.0,-34.0036249,18.4672507
1275000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115080272?plId=1818248&amp;plt=4,1 Bedroom Apartment,Plumstead,1.0,1.0,1.0,,48.0,-34.02,18.4772222
680000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/113698215,2 Bedroom Apartment,Belhar,2.0,1.0,,,38.0,-33.9447222,18.6258333
1450000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223491,2 Bedroom Townhouse,Plumstead,2.0,1.0,1.0,,54.0,-34.02,18.4772222
1275000,https://www.property24.com/for-sale/heathfield/cape-town/western-cape/10207/115164899,2 Bedroom Apartment,Heathfield,2.0,1.0,1.0,,53.0,-33.91628664381761,18.39188083261887
875000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/114948765?plId=1838637&amp;plt=4,1 Bedroom Apartment,Kenilworth,1.0,1.0,1.0,,31.0,-33.9941667,18.4683333
1350000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115110349?plId=1845217&amp;plt=4,3 Bedroom House,Pelican Park,3.0,1.0,5.0,206.0,,-34.0546062,18.5284575
1200000,https://www.property24.com/for-sale/westlake/cape-town/western-cape/11740/113927603,Commercial Property,Westlake,,,,,50.0,-34.0784902,18.4410137
595000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115223252,1 Bedroom Apartment,Pinelands,1.0,1.0,,,22.0,-33.9316667,18.5127778
1350000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115213590,1 Bedroom Apartment,Muizenberg,1.0,1.0,1.0,,40.0,-34.0978389,18.484570761750607
1100000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115202085,2 Bedroom Apartment,Muizenberg,2.0,1.0,1.0,,56.0,-34.0978389,18.484570761750607
1299000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115102892?plId=1822862&amp;plt=4,2 Bedroom Apartment,Ottery,2.0,2.0,1.0,,52.0,-34.0131526,18.5091531
645000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115216326,4 Bedroom House,Ocean View,4.0,2.0,2.0,204.0,,-33.91222275,18.389076794442737
995000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115196513,1 Bedroom Apartment,Plumstead,1.0,1.0,1.0,,65.0,-34.02,18.4772222
1500000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115198342,3 Bedroom House,Muizenberg,3.0,2.0,3.0,200.0,,-34.0978389,18.484570761750607
840000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115189265,1 Bedroom Apartment,Plumstead,1.0,1.0,1.0,,32.0,-34.02,18.4772222
360000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115126040,1 Bedroom Apartment,Wynberg,1.0,1.0,,,31.0,-34.0036249,18.4672507
1195000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115183722,2 Bedroom Apartment,Costa Da Gama,2.0,1.0,2.0,,62.0,,
