Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size
1349000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115186760,1 Bedroom Apartment,Observatory,1,1,1,,46
349000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115005184?plId=1829752&amp;plt=4,Vacant Land,Ocean View,,,,198,
860000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115068392,2 Bedroom Apartment,Costa Da Gama,2,1,1,,45
975000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115042093,1 Bedroom Apartment,Zonnebloem,1,1,,,54
1250000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114839412,2 Bedroom Apartment,Zonnebloem,2,2,1,,71
1150000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/113435037,2 Bedroom Apartment,Pinelands,2,1,1,,63
1150000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115148594,3 Bedroom House,Belhar,3,2,1,281,
1395000,https://www.property24.com/for-sale/steenberg/cape-town/western-cape/9040/115085422?plId=1822303&amp;plt=4,5 Bedroom House,Steenberg,5,2,4,293,
1250000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115183658,2 Bedroom Apartment,Zonnebloem,2,2,1,,71
1495000,https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115136375,1 Bedroom Apartment,Wynberg Upper,1,1,,,73
1500000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115223895,House,Maitland,,,,743,
495000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115212684,1 Bedroom Apartment,Maitland,1,1,1,,33
1495000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115113432,1 Bedroom Apartment,Kenilworth,1,1,1,,50
999000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115167863,2 Bedroom Apartment,Ottery,2,1,1,,45
1500000,https://www.property24.com/for-sale/tokai/cape-town/western-cape/9044/115172801,2 Bedroom House,Tokai,2,1,1,,59
1295000,https://www.property24.com/for-sale/ndabeni/cape-town/western-cape/8014/115197458,3 Bedroom House,Ndabeni,3,2,2,219,
1450000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115100987,2 Bedroom Townhouse,Muizenberg,2,1.5,2,120,
1070000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101771,1 Bedroom Apartment,Woodstock,1,1,1,,43
1090000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115186764,0.5 Bedroom Apartment,Observatory,0.5,1,1,,38
