Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Latitude,Longitude
1500000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114492666,apartment,Woodstock,1.0,1.0,1.0,,42.0,-33.9305556,18.4472222
995000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/111367497,apartment,Pinelands,1.0,1.0,,,36.0,-33.9316667,18.5127778
1500000,https://www.property24.com/for-sale/schaapkraal/cape-town/western-cape/12527/114867605,house,Schaapkraal,9.0,5.0,10.0,497.0,,-34.039128868243424,18.54189716481676
895000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/114547459,apartment,Plumstead,1.0,1.0,,,67.0,-34.02,18.4772222
1450000,https://www.property24.com/for-sale/surrey-estate/cape-town/western-cape/8762/114805557,house,Surrey Estate,3.0,1.0,3.0,198.0,,-33.9763889,18.5458333
595000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/114908899,house,Pelican Park,2.0,1.0,1.0,79.0,,-34.0546062,18.5284575
999000,https://www.property24.com/for-sale/kenilworth-upper/cape-town/western-cape/14224/113765247,apartment,Kenilworth Upper,1.0,1.0,1.0,,41.0,,
1350000,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/114712784,apartment,Cape Town City Centre,1.0,1.0,,,31.0,-33.9224221,18.4263523
1050000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/112566712,apartment,Observatory,1.0,1.0,1.0,,41.0,-33.9369444,18.4683333
1295000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/114739852,apartment,Kenilworth,2.0,1.0,1.0,,77.0,-33.9941667,18.4683333
649000,https://www.property24.com/for-sale/fisantekraal/cape-town/western-cape/9529/114527269,house,Fisantekraal,3.0,1.0,,190.0,,-33.788936473021984,18.701956222829047
1143000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114872281,apartment,Woodstock,1.0,1.0,,,27.0,-33.9305556,18.4472222
849000,https://www.property24.com/for-sale/matroosfontein/cape-town/western-cape/8154/115068157,house,Matroosfontein,2.0,1.0,,,,-33.93893885,18.57213705337939
1390000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/114663788,apartment,Salt River,1.0,1.0,1.0,,65.0,-33.9317008,18.4610056
1350000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114833597,apartment,Woodstock,1.0,1.0,1.0,,45.0,-33.9305556,18.4472222
1350000,https://www.property24.com/for-sale/pinati/cape-town/western-cape/8779/114199565,property,Pinati,,,,,,-33.9919876,18.5179526
750000,https://www.property24.com/for-sale/windermere/cape-town/western-cape/8019/114888921,house,Windermere,2.0,1.0,1.0,,,-33.9063889,18.5208333
710000,https://www.property24.com/for-sale/zeekoevlei/cape-town/western-cape/9047/114980781,apartment,Zeekoevlei,2.0,1.0,1.0,49.0,,-34.0620199,18.50832497812615
650000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/114941314,apartment,Plumstead,,,,,,-34.02,18.4772222
499000,https://www.property24.com/for-sale/lavender-hill/cape-town/western-cape/10211/114919924,house,Lavender Hill,3.0,1.0,4.0,,,-34.0736111,18.4833333
600000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/114716368,house,Retreat,2.0,1.0,1.0,163.0,,-34.0541667,18.4763889
900000,https://www.property24.com/for-sale/ottery-east/cape-town/western-cape/16453/114172987,apartment,Ottery East,2.0,1.0,2.0,,47.0,,18.4839438
899000,https://www.property24.com/for-sale/surrey-estate/cape-town/western-cape/8762/114850019,apartment,Surrey Estate,2.0,1.0,1.0,4.0,,-33.9763889,18.5458333
900000,https://www.property24.com/for-sale/ottery-east/cape-town/western-cape/16453/114172688,apartment,Ottery East,2.0,1.0,,,46.0,,18.4839438
635000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/114944602,house,Belhar,2.0,1.0,1.0,,,-33.9447222,18.6258333
1154000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114912266,apartment,Woodstock,,1.0,,,,-33.9305556,18.4472222
1150000,https://www.property24.com/for-sale/grassy-park/cape-town/western-cape/10204/114929536,house,Grassy Park,2.0,1.0,2.0,47.0,,-34.0451287,18.5032529
1200000,https://www.property24.com/for-sale/rosebank/cape-town/western-cape/8683/114429015,apartment,Rosebank,1.0,1.0,,,49.0,-33.9519444,18.4738889
1400000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114740494,apartment,Zonnebloem,1.0,1.0,1.0,,45.0,-33.932546,18.435048
499000,https://www.property24.com/for-sale/lavender-hill/cape-town/western-cape/10211/115147824,house,Lavender Hill,3.0,1.0,4.0,,,-34.0736111,18.4833333
850000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114871297,apartment,Muizenberg,1.0,1.0,1.0,,36.0,-34.0978389,18.484570761750607
495000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115198046,house,Pelican Park,2.0,1.0,2.0,,,-34.0546062,18.5284575
950000,https://www.property24.com/for-sale/ottery-east/cape-town/western-cape/16453/114173069,apartment,Ottery East,2.0,1.0,,,45.0,,18.4839438
1088000,https://www.property24.com/for-sale/diep-river/cape-town/western-cape/10195/115076761,property,Diep River,,,,,,-33.86570934573944,18.49735483867311
1399000,https://www.property24.com/for-sale/cape-town-city-centre/cape-town/western-cape/9138/114811950,apartment,Cape Town City Centre,0.5,1.0,,,43.0,-33.9224221,18.4263523
1074000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/114911979,apartment,Woodstock,,1.0,,24.0,,-33.9305556,18.4472222
1250000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114547686,apartment,Zonnebloem,2.0,1.0,,,66.0,-33.932546,18.435048
750000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/114694942,house,Ocean View,2.0,2.0,2.0,254.0,,-33.91222275,18.389076794442737
1199000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/114708884,apartment,Plumstead,1.0,1.0,1.0,,76.0,-34.02,18.4772222
900000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/114793976,apartment,Muizenberg,1.0,1.0,1.0,,42.0,-34.0978389,18.484570761750607
